description,length,rate
"Obsługa sprawna, szybka, polecam.",33.0,1
"Obsługa błyskawiczna  nie wymagająca dodatkowych dopytywani, wszystko przejrzyste i jasne.",90.0,1
"Najlepszy sklep pod słońcem,szybka wysyłka, towar bardzo dobrze zapakowany.",75.0,1
Szybko i bardzo profesjonalnie polecam,38.0,1
"Jak zawsze sprawnie, solidnie, szybko, polecam.",47.0,1
"Jak zawsze wszystko szybko, sprawnie, a produkty oryginalne, dobrze zapakowane. Polecam.",88.0,1
ok ale długo czekałam za wysyłką,32.0,1
Ceny sa faktycznie atrakcyjne ale czekałam na przesyłkę dokładnie 8 dni od dokonania przelewu.Co zdecydowanie za długo wiec i tak musiałam kupic w innej aptece rzeczy które zamówiłam.,183.0,-1
Szeroki asortyment.  Atrakcyjne ceny.,37.0,1
"Super, godny polecenia. Szybka realizacja.",42.0,1
Sklep niewątpliwie jest konkurencyjny finansowo do stacjonarnych aptek.,71.0,1
Polecam sklep. Pełen profesjonalizm. Szybka realizacja.,55.0,1
Towar zgodny z zamówieniem - zapakowany bardzo dobrze. Czas oczekiwania na przesyłkę po wpłacie na konto mógłby być szybszy.,124.0,1
"Duży wybór leków i kosmetyków, przystępne ceny. Polecam!!!",58.0,1
"Szybka przesyłka ,tanie leki  polecam",37.0,1
Transakcja udana. Realizacja bez zastrzeżeń,43.0,1
"Wszystko OK, tylko czemu podmieniono mi niektóre towary w stałym moim koszyku na droższe?",89.0,1
"polecam, towar zgodny z opisem, szybka wysyłka.",47.0,1
"Najlepsza apteka,najniższe ceny,szybka realizacja zamówienia.",61.0,1
"Polecam aptekę, korzystne ceny i szybka dostawa to dwa największe atuty",71.0,1
Adres Panstwa dostalam od znajomego przy okazji rozmowy o leku, ktory oboje przyjmujemy. Uważam, że duzo czasu poswiecilam na ankiete i nie chcialabym byc zmuszana do oceniania ludzi. Nie czuje sie kompetentna. Za towar dziekuję. Jestem tylko klientką. Zaplacilam, nie zostalam oszukana, wiecej nic nie oczekuję.
Jestem bardzo zadowolona z tej internetowej apteki. Świetne ceny i super produkty. Gorąco Polecam!!,99.0,1
"tym razem trochę długi termin realizacji zamówienie w środę a przesyłka dostarczona we wtorek przy wyborze kuriera. 
Jedyny minus to czas oczekiwania na paczke... Nie jest tragiczny ale szybkoscia tez nie grzeszy ;-)",350.0,1
"Bardzo dobra jakosc, ceny, obsluga i zapakowanie. Troche dlugo czekalam tym razem na przesylke.",95.0,1
"Zakupiłam wyprawkę pielęgnacyjną dla mnie  córki- wszystko w naprawdę przystępnej cenie, świetnej jakości, paczka rewelacyjnie zapakowana, przesyłka dotarła szybko. Polecam!",173.0,1
"Szeroki asortyment, ceny bardzo konkurencyjne, produkty dobrze zabezpieczone na czas przesyłki, obsługa klienta na wysokim poziome. Polecam każdemu :)",150.0,1
obsługa klienta zasługuje na najwyższą notę,43.0,1
Wszystk przebiegło pomyślnie i zgodnie z oczekiwaniami. Pełna satysfakcja i zadowolenie :),90.0,1
"Zamówienie zrealizowane szybko i dokładnie, polecam.",52.0,1
Bardzo szybka realizacja zamówień.  Ceny  niskie i konkurencyjne. Zostane na dłużej,83.0,1
Szybka realizacja zamówienia. Towar zgodny z opisem. Polecam.,61.0,1
Polecam wszystko sprawnie i bardzo szybka przesyłka.,52.0,1
Transakcja przebiegła pomyślnie. Polecam.,41.0,1
"ok,bardzo dobry,szkoda,że leków na recepte nie mozna zamawiać przez internet",76.0,1
"bardzo szybka wysyłka
"To mój kolejny zakup w tym sklepie i z pewnością nie ostatni. Towar w bardzo atrakcyjnych cenach, ogromny wybór, buteleczki w przesyłce bardzo starannie zapakowane.
"Super sklep, jest w nim wszystko czego potrzebuję, obsługa przemiła, znają się na tym, co robią. A paczuszki kurier przywozi w expresowym tępie:)!!!
Polecam ją wszystkim znajomym i rodzinie i wszyscy stają się od razu jej klientami :)",391.0,1
"brak zastrzeżeń, szybka realizacja zamówienia",45.0,1
"Szybko, sprawnie i profesjonalnie, towar jak w opisie. Dobry kontakt ze sprzedającym. Serdecznie polecam!!",106.0,1
"Bardzo szybka transakcja, dostawa do domu, szeroki asortyment produktów.",72.0,1
"transakcje przebiegają bardzo sprawnie, tanie produkty, zadowolenie w 100%, polecam",83.0,1
"Profesjonalna obsługa, duży wybór produktów, świetna jakość i bardzo szybki czas realizacji zamówienia.  Moje pierwsze ale na pewno nie ostatnie zakupy. Gorąco polecam .",169.0,1
"Wszystko było w porządku. Paczka mogłaby być trochę lepiej zabezpieczona. Z kosmetykami nic się nie stało, ale ich opakowania były trochę zniszczone prze z to, że kosmetyki były luzem w paczce. Gdyby ktoś podczas pakowania ktoś włożył tam trochę folii bąbelkowej lub papieru byłoby okej. Ale rozumiem, że na tym apteka oszczędza oferując najniższe ceny na rynku! I to jest dla mnie okej :)",389.0,1
Polecam. Zamawiam w tej aptece często i jak zawsZe transakcja odbyła się bez problemów i szybko.,96.0,1
"Zamawiam w aptece regularnie i jestem bardzo zadowoloną klientką! Produkty zgodne z opisem na stronie internetowej. Paczka zabezpieczona, nic się nie zniszczyło. :)",164.0,1
Apteka ma w sprzedaży tańsze leki i suplementy niż w innych aptekach. Poprawił się czas realizacji zamówienia z 3 dni do 1 dnia. Polecam!!!,139.0,1
polecam szybko rzetelnie na czas,32.0,1
Szybka przesyłka.Towar zgodny z oczekiwaniem.,45.0,1
Zawsze udane zakupy. Polecam gorąco!!,37.0,1
"Wiarygodny, sprawny i godny polecenia",37.0,1
"Świetna apteka, bardzo dobre ceny. Przesyłka dotarła błyskawicznie. Bardzo polecam",82.0,1
sklep godny polecenia; niestety nie posada wszystkich leków i suplementów diety.,80.0,1
"Tanio, sprawnie, bezproblemowo! Śmiało polecam!",47.0,1
"Szybko, tanio i bezproblemowo...nic więcej nie można oczekiwać. Gorąco polecam.",79.0,1
"Szybko, sprawnie, świetna cena. Polecam :)",42.0,1
"Jestem zawiedziony. Obsluga telefoniczna niedostepna-mozna dzwonic caly dzien. Niestety juz zakupow  w tej aptece nie dokonam. Prosilem o zmiane adresu dostawy po dokonaniu zamowienia, powiedziano mi ze dopiero jak dostane maila z informacja ze paczka zostala wyslana wtedy apteka zacznie dzialac z firma kurierska i co ?? dostalem maila i przeslalem go obsludze apteki i nic oczywiscie paczka poszla pod niechciany adres. wiec w jaki sposob apteka wspolpracuje z firma kurierska ??",482.0,-1
Bardzo dobrze zaopatrzona. Niskie ceny,38.0,1
"Polecam - dobre ceny, szybka realizacja",39.0,1
Polecam. Niskie ceny. Szybka dostawa.,37.0,1
"Dobre ceny, szybka wysyłka. Polecam",35.0,1
"sumiennie, szybko, bez problemu",31.0,1
Bardzi dobra apteka z przystępnymi cenami i szybką realizacją.,62.0,1
Ostatni zakup 6 maja wysyłka 9 maja ( opóźnienie zamówienia) bardzo długi czas na dostarczenie przesyłki.,105.0,1
Błyskawiczna wysyłka i informacje dotyczące statusu zamówionych produktów. Polecam!!!,85.0,1
"godny polecenia, korzystne ceny",31.0,1
0,0.0,0
"ok ceny dobre ,towar zgodny z zamówieniem .poleca się.",54.0,1
Zamówienie zostało zrealizowane zgodnie ze specyfikacją sprawnie i bez żadnych negatywnych niespodzianek,104.0,1
Szybka i profesjonalna obsługa. Polecam!,40.0,1
"Udane i sprawne zakupy, towar zgodny z opisem. Polecam",54.0,1
Bardzo szybka wysylka.jestem bardzo zadowolona,46.0,1
"Jak zwykle udane zakupy, informacja o realizacji zamówienia na każdym etapie, szybka wysyłka i zero pomyłek. Polecam również ceny, bo są bezkonkurencyjne ;) Na pewno odwiedzę tę aptekę ponownie.",194.0,1
Wszystko w jak najlepszym porządku. Polecam sklep.,50.0,1
Bardzo lubię robić tu zakupy. Tanio i szybko.,45.0,1
Polecam",41.0,1
"Towar zgodny z zamówieniem, wysyłka ok.",39.0,1
"Rzetelna pomoc, mila obsluga, zainteresowanie Klientem, załatwianie spraw reklamacyjnych bez żadnego problemu.",110.0,1
"Szybka, płynna realizacja zamówienia. Polecam.",46.0,1
"Dobry, bardzo szybki i skuteczny kontakt !!! P O L E C A M !",60.0,1
Sklep poleciła mi kuzynka, która często robi tu zakupy, z których jest zawsze zadowolona.",193.0,1
Polecam",42.0,1
"polecam, wszystko co zamówiłem dotarło ;-)",42.0,1
"Wszystko w najlepszym porzadku, kazda transakcja przebiega szybko i bez jakichkolwiek komplikacji:)",99.0,1
Polecam sklep z ogromną przyjemnością.,38.0,1
"Sprzedawca godny polecenia, szybka dostawa, produkt zgodny z zamówieniem.",73.0,1
"Pełen profesjonalizm, szybka przesyłka. Dziekuje bardzo. To nie pierwsze moje zakupy w tej aptece i na pewno nie ostatnie ;)",124.0,1
"bardzo dobre ceny ekspresowa przesyłka, kupione kosmetyki starannie zapakowane",78.0,1
"bardzo fachową obsługa,paczka dostarczona w obiecanym czasie,polecam wszystkim zakupy w aptece",94.0,1
"Bardzo dobra apteka,niskie ceny,miła obsługa,szybka realizacja.Polecam.",71.0,1
Szybka realizacja zamówienia. Przesyłka dobrze zabezpieczona na czas transportu.,80.0,1
"Realizacja nastąpiła tego samego dnia, co zamówienie. Obsłużyła mnie zawsze uśmiechnięta i sympatyczna Pani. Polecam ten sklep.",127.0,1
"Super apteka- to już kolejny mój zakup w niej i na pewno nie ostatni. Bardzo konkurencyjne ceny, miła i szybka obsługa. Same pozytywy- szczerze polecam!",152.0,1
Bardzo szybka realizacja  i pełna informacja o dostawie miejsca odbioru,71.0,1
"Bardzo bobry kontakt,szybka wysyłka.Polecam",43.0,1
To dobra apteka. Opóżnienie w dostawie wynikało pewnie w związku ze Świętami.,77.0,1
"Wszystko w najlepszym porządku, leki tanie dobry wybór, szybka przesyłka dobrze zapakowana z paragonem w środku; co chcieć więcej. Ok.",134.0,1
"Szeroka oferta produktów, pełen profesjonalizm.",47.0,1
Jedynie awizo kuriera za pomocą poczty internetowej w dniu dostawy i prawie natychmiastowa dostawa stwarza obawę, że odbiorca może nie być w domu.",224.0,1
"Szybko, sprawnie i bez problemów. Polecam!",42.0,1
"Szybka, sprawna obsluga, niskie ceny, dostawa na czas, polecam zdecydowanie.",76.0,1
"Polecam, realizacja zamówienia szybka i sprawna.",48.0,1
"Jak zawsze polecam! Duży wybór, przystępne ceny i błyskawiczna dostawa.",71.0,1
"Szybko ,sprawnie . Gorąco polecam.",34.0,1
"Duży wybór towaru, sprawna i szybka obsługa, przesyłka dostarczona terminowo",76.0,1
OK . Szybka realizacja zamówienia,33.0,1
Nigdy się nie zawiodłam na tym sklepie.,39.0,1
"Wszystko jak należy, szybko, sprawnie a do tego ceny super;)",60.0,1
Szybka i sprawna realizacja zamówienia. Polecam,47.0,1
"Jestem zadowolona z zakupów w Krakvet.pl , rzetelna obsługa, szybka realizacja zleceń",85.0,1
"Raczej dobry: niektóre produkty najtańsze właśnie w tym sklepie, bywa bardzo szybki.",84.0,1
więc wybór to jedyny trud,
Jak zwykle świetna obsługa i najniższe ceny.,44.0,1
Pozdrawiam.",61.0,1
"Był to mój pierwszy zakup i na pewno nie ostatni, jestem zadowolony w 100% wszystko jak należy.  Pozdrawiam",107.0,1
"Po raz kolejny robie zakupy w tym sklepie i jak zwykle nie zawiodłam się. Konkurencyjne ceny,    szybka dostawa super obsługa. POLECAM ☺☺☺",138.0,1
"Szybka realizacja zamówienia, konkurencyjne ceny",48.0,1
za każdym zamówieniem wszystko jest zgodne z opisem i na czas,61.0,1
Jestem bardzo zadowolona.Szybko i sprawnie tak powinno być ;-),62.0,1
Wszystko  super  ! Profesjonalizm  na 100% ,43.0,1
Jesteśmy zadowoleni z zakupu. Polecam :),40.0,1
"Towar dostarczony b. szybko, Informacje na bieżąco. Obsługa w sklepie uprzejma i dobrze zorientowana na temat towarów i sprzedaży. Jestem bardzo zadowolony jako klient. 
Wszystko profesjonalnie i sprawnie,34.0,1
"Witam.
"Bardzo dobra, chętnie korzystam.",32.0,1
Szybko i  na czas. Oby tak dalej.,33.0,1
"To już moje kolejne zakupy w Empik.com - jestem bardzo zadowolona! Szybka dostawa, miła obsługa, dobrze zapakowany towar. 
"Szybko, solidnie, uprzejmie. Bardzo dziękuję, pewnie wkrótce skorzystam znowu.",78.0,1
Jestem w pełni usatysfakcjonowany.,34.0,1
Szybko i konkretnie. Nigdy nie było problemów.,46.0,1
"Kolejne zakupy, kolejne 100% zadowolenia. Produkty dobrze zabezpieczone do wysyłki. Szybkie powiadomienie o możliwości odbioru paczki z Salonu. Czego chcieć więcej. Polecam.",173.0,1
Bardzo dobra. Jestem bardzo zadowolona.,39.0,1
"Szybko i bezproblemowo, czy oczekiwania zgodny z deklarowanym",61.0,1
Zamówienie bez najmniejszych zarzutów.,38.0,1
Sklep godny polecenia. Szybko i sprawnie.,41.0,1
"Szybko, sprawnie, korzystnie i wygodnie.",40.0,1
"Pozytywne wrażenie, duży wybór, ceny przystępne, obsługa nienaganna.",68.0,1
"Cały proces zakupowy bez zastrzeżeń. Realizacja zamówienia szybka. Minus, że nie mogłam zamówić wszystkich interesujących mnie produktów, ponieważ zgodnie z polityką sklepu wymiary paczki były za duże bym mogła wybrać odbiór osobisty w sklepie. Chciałam kupić grę planszową ""Wsiąść do pociągu - Europa"".",303.0,1
Z czystym sumieniem polecam zakupy w tym sklepie.,49.0,1
"Witam,
Bardzo duży wybór rzeczy. Szybka wysyłka. Polecam sklep.,56.0,1
"Znakomicie zorganizowany, kompetentny sklep internetowy.",56.0,1
Uwielbiam ten Sklep dlatego też często robię w nim zakupy czy to przez internet czy stacjonarnie.,97.0,1
"Bardzo pozytywnie, jak zwykle. Szybka realizacja. Bardzo wygodnie.",66.0,1
Kupiłam wszystko czego potrzebowałam
"Wszystko odbyło się szybko (nawet szybciej niż zapowiadali w pierwszej wiadomości), sprawnie, w punkcie też fachowa, szybka obsługa, jakość opakowania bardzo dobra. Polecam!",173.0,1
"Szybka przesyłka,towar w dobrej cenie,kolejny udany zakup
"Wszystko ok szybko i sprawnie, towar odpowiednio zabezpieczony.",63.0,1
Nigdy jeszcze mnie nie zawiedli. Polecam,40.0,1
"zawsze znajdą się jakieś promocje, książki trudno dostępne, a jednak w empiku są! polecam gorąco ;)",99.0,1
Zawsze jestem bardzo zadowolona. Nie mam żadnych negatywnych uwag. Polecam.,75.0,1
"Towar zgodny z zamowieniem, szybka przesylka",44.0,1
"Jak dla mnie Empik to bardzo dobry sklep. Zaufany, czasem za drogi, ale za to można zredukować trochę koszty na przesyłce.",122.0,1
"Polecam, zawsze wszystko przebiega bez zarzutu.",47.0,1

"Bardzo przejrzysta oferta, łatwość wyszukiwania, bogaty wybór.",62.0,1
Wszystko prosto, gładko, bez komplikacji.
"Sklep błyskawicznie dostarcza zamówione towary - czas ten zgodny jest z informacją podaną przy zamawianiu :) Ponadto przy każdej zmianie statusu zamówienia otrzymuje maila ze stosowną informacją. Produkty są super zapakowane, nigdy nic mi się nie uszkodziło. Polecam w 100 %.",275.0,1
"Obsługa profesjonalna, oferta pełna",35.0,1
"Zamówiłam dwie książki, odebrałam je opakowane w FOLIĘ!!!  Jedna książka była poplamiona i zalana, druga miała zniszczoną okładkę i pozaginane rogi. Oddałam je jak tylko otworzyłam przesyłkę w domu. To samo w przypadku płyt z tzw serii ECO, które nie mają plastikowych pudełek, ale papierowe. Kiedyś wszystkie przesyłki ze sklepu internetowego były porządnie pakowane w tekturę i dodatkowo zabezpieczane folią bąbelkową. Wolę zapłacić kilka złotych więcej i zamówić książki czy płyty w innym sklepie, i miec pewność że dostanę je w dobrym stanie. Bo tych, które odebrałam wczoraj nie kupiłabym z półki. Szkoda, że jakość i marka EMPIKU tak się pogorszyła.",655.0,-1
"Jest sprawnie, szybko i konkretnie. Same plusy.",47.0,1
"Super! wszystkie powiadomienia na mail, odbiór bez problemu:)",61.0,1
jestem zadowolony z jakości produktu.",62.0,1
Polecam!!",175.0,1
Szybko:)miło:)sprawnie:)towar zgodny z zamówieniem:)polecam:):):),65.0,1
"Szybka realizacja zamówienia, dobry system powiadamiania o stanie transakcji, bdb kontakt mailowy. Jestem zadowolona i jak najbardziej polecam.",143.0,1
"Super, szybko, towar 1-wszak klasa",34.0,1
"Szybka, profesjonalna obsługa i dostawa.",40.0,1
Szeroki asortyment oraz bardzo szybka realizacja zamówienia POLECAM.,68.0,1
bardzo  duża oferta części zamiennych do spzętu AGD,51.0,1
"Wszystko tak jak powinno być, bardzo dobry kontakt ze sprzedającym i produkt zgodny jak najbardziej z opisem",108.0,1
"Oceniam, jako wieloletni klient sklepu (praktycznie od początku istnienia firmy), obsługę klienta na profesjonalnym poziomie. Co prawda ostatnimi czasy mniej kupuję w tym sklepie z racji zmiany profilu mojej pracy, niemniej wysoko oceniam chęć pomocy personelu w zakupie potrzebnych mi towarów.",294.0,1
Sklep ok. część zgodna z zamówieniem. Gorąco polecam.,53.0,1
dostałem po trzech dniach przesyłkę .Zmywarka działa bezproblemowo,66.0,1
"Szybka realizacja, przesyłka porządnie zapakowana. Sam produkt (mieszak Kenwood) świetnie sprawdza się w moim robocie. Polecam z czystym sumieniem.",147.0,1
"Konsultantka jak najbardziej OK. Transakcja i towar spełniające moje oczekiwania. Ogólnie bardzo dobra transakcja.
Sprawna i kompetentna obsługa chętna do pomocy. Wielokanałowa, automatyczna informacja zwrotna o realizacji dostawy. Szybka dostawa.",252.0,1
Towar zgodny z zakupem. Szybka realizacja. Polecam,50.0,1
"Sprawna obsługa sprzedaży, informacja i przesyłka. Polecam",58.0,1
"Godny polecenie sklep!Obsługa OK,bez zastrzeżeń,uzyskałam informacje, których potrzebowałam.Pieniądze przelałam w srode po 16,a już w piątek odbieralam swoje zamówienie:).Jestem megazadowolona z usług sklepu, zwłaszcza że i koszt elementu pralki (oryginalnego),jak i przesyłki tańszy niż u samego producenta:).Szczerze polecam.",327.0,1
B.dobry dostawca !!! Gorąco polecam :-),39.0,1
Transakcja przebiegła bardzo sprawnie,37.0,1
błyskawiczna realizacja. polecam!,33.0,1
wszystko było załatwione szybko i sprawnie.
"Profesjonalnie, szybko, tanio - POLECAM.",40.0,1
"Super kontakt, błyskawiczna przesyłka. Jestem bardzo zadowolona !",65.0,1
Sprawnie i w terminie. Towar zgodny z zamówieniem,49.0,1
Bardzo dobry kontakt. Super szybka odpowiedz na wszystkie pytania.,66.0,1
Sklep rzetelny. Nie miałam żadnych problemów z przesyłką.,57.0,1
zamówienie zostało zrealizowane bez zastrzeżeń. Sklep na bieżąco informuje klienta otym co się dzieje z zamówionym towarem. Należy podkreślić iż towar dotarł na miejsce w ciągu dwóch dni.,187.0,1
"To nie pierwszy mój zakup w tym sklepie. Wszystkie zawsze przebiegają tak samo: zamówienie, błyskawiczna dostawa i pelnowartosciowy towar. Świetna wyszukiwarka części AGD, ceny konkurencyjne nawet do Allegro i bardzo bogata oferta. Polecam z czystym sumieniem.",260.0,1
Sklep bardzo dobrze zaopatrzony. Jeśli czegoś gdzieś nie ma to w NORTH najprawdopodobniej będzie,96.0,1
"Wszystko przebiegło sprawnie, bez żadnych problemów. Polecam sklep North.pl",75.0,1
"Bardzo dobry sklep, bardzo szybka przesyłka i doskonały kontakt. Poprostu bardzo polecam zakupy w tym sklepie :)",112.0,1
Transakcja zrealizowana szybciej niż miała być. p Pełen profesjonalizm!,71.0,1
"Profesjonalna obsługa,książki w dobrych cenach,ciekawe promocje.Szkoda tylko,że brak wysyłki poza granicę Polski.",113.0,1
"Szybko, tanio, wygodnie. Jak zawsze pełna perfekcja.",52.0,1
Sklep na duże 5 z dużym+. Ani razu nie zawiodłem się.,53.0,1
"Uwielbiam robić tutaj książkowe zakupy. Wiem, że cena jest zawsze przystępna, a sposobów dostawy mam wiele do wyboru. Gorąco polecam!",133.0,1
Sklep godny polecenia. Błyskawiczna realizacja zamówienia :),60.0,1
Mega szybka wysyłka. Polecam każdemu.,37.0,1
Towar wysłany szybko. Zapakowany solidnie. Polecam zakupy na stronie aros.pl,76.0,1
To mój kolejny zakup w sklepie Aros.pl. Jak zawsze - błyskawiczna obsługa i niewygórowane koszty wysyłki. Polecam.,114.0,1
Wielbię ! Bezkonkurencyjni ! :-),32.0,1
Szybka i bezbłędna realizacja zamówienia.,41.0,1
"Wszystko w należytym porządku:) szybko, sprawnie, SUPER!!!",58.0,1
Super wszystko sprawnie i fajne ceny!,37.0,1
Ciekawa oferta dobre ceny.",63.0,1
"Polecam. Szybka i bezproblemowa dostawa, szeroki asortyment, konkurencyjne ceny.",80.0,1
"Szybko, tanio, dobrze :) Polecam w 100%",39.0,1
Nie zaistniał żaden problem z paczką wszystko odbyło się w terminie oraz z zachowaniem jakość przesyłki.,104.0,1
"Duży asortyment z bardzo korzystnymi cenami, a do tego szybka wysyłka. To moja ulubiona księgarnia internetowa.",111.0,1
"Szybka i sprawna obsługa, pełne zadowolenie z mojej strony.",59.0,1
Jestem zawsze zadowolona z zakupów w sklepie Bonito,51.0,1
Jestem bardzo zadowolona z zakupu w tej księgarni!,50.0,1
Jesem bardzo zadowolona z towaru jaki dostala i z szybkości prsyjacia przesylki,79.0,1
Transakcja przebiegła bardzo pomyślnie. Dostawa bardzo szybka. Polecam :),73.0,1
"Szybka wysyłka,  jakość i ceny - rewelacja. Polecam",51.0,1
"Rewelacja .wszystko zgodne z zamówieniem ,bardzo dobre ceny książek",67.0,1
jestem bardzo zadowolona z współpracy ze sklepem,48.0,1
"Bardzo dobre miejsce, ładnie, czysto",36.0,1
"Suuuper sklep internetowy, nigdy się nie zawiodłam. Szybko, tanio i sprawnie.",77.0,1
"Szybka wysylka kurierem nawet gdy zamowie zlozylem pozno, polecam",65.0,1
"10/10 Zamawiałem dwa razy, bardzo szybka dostawa, paczka w nienaruszonym stanie, wszystko jak należy. Produkty z najwyższej półki, jestem w 100% zadowolony, na pewno jeszcze coś zamówię!",186.0,1
"Paczka do odbioru w Netpunkcie już następnego dnia, do tego bardzo miła pomoc telefoniczna gdy chwilę po złożeniu zamówienia postanowiłam zmienić sposób zapłaty. Jak zwykle polecam. Tylko kolejki w punkcie przy Al. KEN spore, aż miejsc siedzących zabrakło. Piątek 18:30 15~20 min czekania.",289.0,1
zamówienie zostało zrealizowane szybciej niż się spodziewałem.,62.0,1
3 tygodnie / 15 dni roboczych grzebali się w swoim serwisie przesyłając wiadomości z jednego działu do innego. 
Zawsze kupuję w morele. Nigdy nie było problemów,48.0,1
Jeden z moich zaufanych sklepów internetowych.,46.0,1
0,0.0,0
Sklep jak najbardziej polecam :),32.0,1
Szczegółowe i szybkie info o zakupach; duży asortyment,54.0,1
Szybko i sprawnie:-) polecam :-),32.0,1
"Bezproblemowy odbiór w  punkcie odbioru. Brak jakichkolwiek zastrzeżeń co do procedur zakupu jak i jakości towaru. Jasno, klarownie OK.",135.0,1
jestem bardzo zadowolona z realizacji zam owienia,49.0,1
Godny zaufania. Jak na razie się na nim nie zawiodłem a zrealizowałem kila zakupów.,83.0,1
"Szybki i profesjonalny, konkurencyjne ceny.",43.0,1
0,0.0,0
moje kolejne zakupy w sklepie morele.net - super. polecam,57.0,1
Polecam wszystkim zakup w tym sklepie. Towar dotarł 2 dni po zakupie. Wszystko bez najmniejszego zagięcia na kartonie. Jeszcze raz polecam :),141.0,1
"szkoda tylko, że nie przysłaliście Państwo maila z informacją o tym, że produkt można odebrać.musiałam sama się dowiadywać",122.0,1
"Wszystko sprawnie, szybko. Polecam",34.0,1
- dobrze, że towar nie był uszkodzony...",307.0,-1
0,0.0,0
Drugi mój zakup w tym sklepie. Wysoka kultura i prędkość działania.,67.0,1
"Szybka, sprawna transakcja i odbiór osobisty towaru, polecam.",61.0,1
"Bardzo dobre opisy, pomoc techniczna, logistyka na www",54.0,1
"Bardzo dobry sklep internetowy. Szybko, sprawnie, bez problemów. Jestem bardziej niż bardzo zadowolony :)",105.0,1
Jestem zadowolona z zakupu monitorów. Szybka i profesjonalna realizacja zamówienia. Polecam zakupy,98.0,1
"Wszystko od początku do końca, w kontekście zakupu, było dla mnie czytelne w sklepie, za co duży plus. Brakowało trochę możliwości skorzystania z systemu transakcyjnego w celu uiszczenia opłaty, ale być może przeoczyłem tą opcję. Wszystkie założenia dotyczące wysyłki zostały dotrzymane w 100%.",294.0,1
0,0.0,0
"Szybko sprawnie i rzetelnie , polecam",37.0,1
"Przede wszystkim świetna obsługa (na KEN w Warszawie). Pracownik obsłużył mnie bardzo kompetentnie, szybko i z uśmiechem. Nic dodać nic ująć.",141.0,1
sklep idealny profesjonalna obłoga,34.0,1
"Zamówienie zrealizowane zgodnie z dyspozycją, wszystko w jak najlepszym porządku.",81.0,1
Ocena jak najbardziej pozytywna. Szybkie dostarczenie towaru do punktu odbioru. Towar zgodny z opisem. Transakcja na +.,119.0,1
bez zarzutu",70.0,1
"Bardzo dobry sklep, szybka obsługa i dostawa. Wszelkie informacje o przesyłce dostałem przez e-mail. Łatwy kontakt z obsługą sklepu.
"Sklep godny polecenia. Wszystko odbyło się w ekspresowym tempie, w miłej atmosferze i bez żadnych problemów.",108.0,1
Polecam - zawsze wszystko zgodne z zamówieniem,46.0,1
"Szybko, dziwnie troszkę skomplikowane.",38.0,1
W Morelach złozyłem zamówienie i za kilka dni odebrałem zakup jak w normalnym sklepie i to z miłą obsługa.",287.0,1
Kolejny zakup z którego jestem zadowolony,41.0,1
w Morele robiłam zakupy po raz trzeci i jestem zadowolona,57.0,1
"Bardzo szybka realizacja zamówienia, fachowa obsługa Polecam z czystym sumieniem:)",82.0,1
"jak zawsze wszystko zgodnie z zamówienie, szybko i sprawnie. Odbierałem w punkcie we Wrocławiu",94.0,1
"towar sprawnie dostarczony,  w terminie, obsługa życzliwa",57.0,1
Jest OK. zamówiłam i odebrałam w punkcie- szybka realizacja,59.0,1
"Wszystko ok, przesyłka dotarła nieuszkodzona w podanym terminie",63.0,1
Szybka przesyłka. Sprawna transakcja. Polecam. Jedyna wada to brak możliwości zapłacenia kartą.,95.0,1
"Bardzo dobry i sprawdzony sklep, jestem klientem od dawna.",58.0,1
"Wszystko w jak najlepszym porządku.
Wszystko szybko i sprawnie! Polecam,35.0,1
"Szybko, miło i przyjemnie, serdecznie polecam.",46.0,1
Bezapelacyjnie najlepsza cena w internecie oraz możliwość osobistego odbioru to dla mnie gwarancja satysfakcji.,111.0,1
"Towar zamówiłem o 13 30 ,odebrałem następnego dnia o 13.15 w punkcie odbioru w Katowicach .
Najlepszy sklep z częściami komputerowymi w PL zamówienie zostało zrealizowane szybciej niż sam sklep zapowiadał zamiast 3 dni w 2 dni mimo dość późnej godziny złożenia zamówienia napewno będę wracał do tego sklepu jeszcze raz po części do komputera i nie tylko !,263.0,1
Wszystko szybko i jak najbardziej prawidłowo.,45.0,1
"Sklep bardzo dobry, duża dostępność produktów w dobrych cenach",62.0,1
"Polecam.  Serwis super, cena atrakcyjna, odbior w terminie.",59.0,1
Szybka wysyłka i wszystko ok. Bardzo polecam!,45.0,1
Sklep na bieżąco informuje o statusie zamówienia i realizuje w wyznaczonym terminie. Jestem bardzo zadowolony z jakości usług.,126.0,1
Polecam morele - zawsze dobre ceny i duża dostępność wachlarza towaru!,70.0,1
"Ok, szybka wysyłka dobry towar.",31.0,1
Wszystko w jak najlepszym porządku. Wielki Pozytyw- bez obaw.,61.0,1
WSZYSTKO SPRAWNIE SZYBKO I BEZ ŻADNYCH PROBLEMÓW.,49.0,1
"Bardzo podoba mi sie lista produktów, oraz sposób obsługi (Netpunkty i przesyłki kurierskie).",93.0,1
godny polecenia pod każdym wzgledem,35.0,1
"Bezproblemowo, sprawnie, szybko obsłużony",41.0,1
0,0.0,0
Doskonały kontakt! Szybko i sprawnie!,37.0,1
"Szybka obsługa i realizacja zamówień, dobry towar",49.0,1
Morele.net łączy dobrą jakość produktów z relatywnie niską ceną. Profesjonalizm obsługi i krótki czas realizacji zamówienia.,124.0,1
